Speech Event	overlaps‰	overlap average length	% of overlaps with >2 words	overlaps with >2 words ‰ tokens
FOLK_E_00385_SE_01	8,50	1,71	23,53	2,00	
FOLK_E_00386_SE_01	11,88	2,23	29,59	3,52	
FOLK_E_00387_SE_01	0,87	2,75	43,75	0,38	
FOLK_E_00388_SE_01	0,89	1,69	15,38	0,14	
FOLK_E_00389_SE_01	1,34	1,44	11,11	0,15	
FOLK_E_00390_SE_01	2,25	2,33	27,84	0,63	
FOLK_E_00391_SE_01	6,45	2,10	23,72	1,53	
FOLK_E_00392_SE_01	35,54	1,80	18,27	6,49	
FOLK_E_00395_SE_01	24,40	1,69	14,29	3,49	
FOLK_E_00398_SE_01	22,19	2,21	31,48	6,99	
FOLK_E_00401_SE_01	34,40	1,76	20,96	7,21	
