Speech Event	lemmas	tokens	GOETHE_A1 lemmas	GOETHE_A1 tokens	GOETHE_A1 lemmas ratio	GOETHE_A1 tokens ratio	GOETHE_A2 lemmas	GOETHE_A2 tokens	GOETHE_A2 lemmas ratio	GOETHE_A2 tokens ratio	GOETHE_B1 lemmas	GOETHE_B1 tokens	GOETHE_B1 lemmas ratio	GOETHE_B1 tokens ratio	HERDER_1000 lemmas	HERDER_1000 tokens	HERDER_1000 lemmas ratio	HERDER_1000 tokens ratio	HERDER_2000 lemmas	HERDER_2000 tokens	HERDER_2000 lemmas ratio	HERDER_2000 tokens ratio	HERDER_3000 lemmas	HERDER_3000 tokens	HERDER_3000 lemmas ratio	HERDER_3000 tokens ratio	HERDER_4000 lemmas	HERDER_4000 tokens	HERDER_4000 lemmas ratio	HERDER_4000 tokens ratio	HERDER_5000 lemmas	HERDER_5000 tokens	HERDER_5000 lemmas ratio	HERDER_5000 tokens ratio	
GWSS_E_00304_SE_02	428	1781	151	1270	0,35	0,71	208	1433	0,49	0,80	266	1532	0,62	0,86	212	1407	0,50	0,79	247	1469	0,58	0,82	258	1485	0,60	0,83	272	1511	0,64	0,85	280	1534	0,65	0,86
GWSS_E_00305_SE_01	197	603	115	478	0,58	0,79	134	513	0,68	0,85	156	548	0,79	0,91	124	487	0,63	0,81	136	509	0,69	0,84	142	517	0,72	0,86	144	519	0,73	0,86	150	531	0,76	0,88
GWSS_E_00305_SE_02	74	153	51	123	0,69	0,80	58	132	0,78	0,86	62	139	0,84	0,91	55	128	0,74	0,84	58	132	0,78	0,86	58	132	0,78	0,86	58	132	0,78	0,86	60	134	0,81	0,88
GWSS_E_00306_SE_01	245	695	112	506	0,46	0,73	150	567	0,61	0,82	177	607	0,72	0,87	136	523	0,56	0,75	161	573	0,66	0,82	170	586	0,69	0,84	174	590	0,71	0,85	178	598	0,73	0,86
GWSS_E_00306_SE_02	301	1150	145	903	0,48	0,79	190	992	0,63	0,86	227	1037	0,75	0,90	176	951	0,58	0,83	206	992	0,68	0,86	222	1013	0,74	0,88	228	1025	0,76	0,89	233	1030	0,77	0,90
GWSS_E_00307_SE_01	186	488	94	367	0,51	0,75	108	396	0,58	0,81	123	415	0,66	0,85	98	359	0,53	0,74	114	388	0,61	0,80	118	394	0,63	0,81	119	395	0,64	0,81	123	400	0,66	0,82
GWSS_E_00307_SE_02	220	624	119	482	0,54	0,77	138	503	0,63	0,81	166	545	0,75	0,87	132	483	0,60	0,77	152	517	0,69	0,83	156	521	0,71	0,83	159	528	0,72	0,85	162	535	0,74	0,86
GWSS_E_00308_SE_01	160	392	89	294	0,56	0,75	101	319	0,63	0,81	114	335	0,71	0,85	95	294	0,59	0,75	104	310	0,65	0,79	108	314	0,68	0,80	110	316	0,69	0,81	115	325	0,72	0,83
GWSS_E_00308_SE_02	324	1405	163	1065	0,50	0,76	196	1177	0,60	0,84	239	1263	0,74	0,90	193	1158	0,60	0,82	219	1207	0,68	0,86	233	1229	0,72	0,87	240	1253	0,74	0,89	248	1266	0,77	0,90
GWSS_E_00309_SE_01	248	686	126	504	0,51	0,73	160	561	0,65	0,82	183	591	0,74	0,86	144	520	0,58	0,76	165	557	0,67	0,81	177	573	0,71	0,84	179	577	0,72	0,84	183	591	0,74	0,86
GWSS_E_00309_SE_02	320	1368	156	1079	0,49	0,79	189	1141	0,59	0,83	231	1214	0,72	0,89	184	1127	0,58	0,82	208	1170	0,65	0,86	220	1193	0,69	0,87	231	1218	0,72	0,89	234	1222	0,73	0,89
GWSS_E_00310_SE_01	232	667	116	489	0,50	0,73	142	538	0,61	0,81	168	583	0,72	0,87	139	532	0,60	0,80	158	560	0,68	0,84	165	573	0,71	0,86	171	586	0,74	0,88	175	590	0,75	0,88
GWSS_E_00310_SE_02	194	620	114	488	0,59	0,79	142	542	0,73	0,87	165	575	0,85	0,93	138	533	0,71	0,86	156	565	0,80	0,91	161	573	0,83	0,92	161	573	0,83	0,92	163	575	0,84	0,93
GWSS_E_00311_SE_01	288	952	123	707	0,43	0,74	148	750	0,51	0,79	192	825	0,67	0,87	157	751	0,55	0,79	187	797	0,65	0,84	195	806	0,68	0,85	197	809	0,68	0,85	207	828	0,72	0,87
GWSS_E_00311_SE_02	93	232	66	192	0,71	0,83	72	205	0,77	0,88	79	215	0,85	0,93	71	203	0,76	0,88	75	208	0,81	0,90	79	214	0,85	0,92	79	214	0,85	0,92	79	214	0,85	0,92
GWSS_E_00312_SE_01	193	478	98	337	0,51	0,71	124	382	0,64	0,80	143	411	0,74	0,86	117	371	0,61	0,78	128	392	0,66	0,82	133	398	0,69	0,83	134	399	0,69	0,83	137	405	0,71	0,85
GWSS_E_00312_SE_02	206	730	122	580	0,59	0,79	140	617	0,68	0,85	160	654	0,78	0,90	134	607	0,65	0,83	147	630	0,71	0,86	153	639	0,74	0,88	155	649	0,75	0,89	161	658	0,78	0,90
GWSS_E_00313_SE_01	204	455	106	308	0,52	0,68	123	339	0,60	0,75	144	372	0,71	0,82	115	336	0,56	0,74	140	365	0,69	0,80	144	375	0,71	0,82	147	378	0,72	0,83	152	385	0,75	0,85
GWSS_E_00313_SE_02	231	722	116	531	0,50	0,74	145	572	0,63	0,79	170	622	0,74	0,86	132	554	0,57	0,77	151	582	0,65	0,81	156	595	0,68	0,82	159	599	0,69	0,83	160	600	0,69	0,83
GWSS_E_00314_SE_01	179	464	111	368	0,62	0,79	128	395	0,72	0,85	147	425	0,82	0,92	114	375	0,64	0,81	129	395	0,72	0,85	134	402	0,75	0,87	137	405	0,77	0,87	141	413	0,79	0,89
GWSS_E_00314_SE_02	188	518	113	398	0,60	0,77	132	438	0,70	0,85	160	483	0,85	0,93	134	438	0,71	0,85	145	456	0,77	0,88	149	461	0,79	0,89	155	470	0,82	0,91	160	475	0,85	0,92
GWSS_E_00315_SE_01	200	439	87	283	0,44	0,64	104	316	0,52	0,72	134	362	0,67	0,82	104	316	0,52	0,72	124	345	0,62	0,79	136	360	0,68	0,82	140	365	0,70	0,83	143	368	0,72	0,84
GWSS_E_00315_SE_02	237	916	126	719	0,53	0,78	161	802	0,68	0,88	188	854	0,79	0,93	155	771	0,65	0,84	176	809	0,74	0,88	181	819	0,76	0,89	185	826	0,78	0,90	188	830	0,79	0,91
GWSS_E_00316_SE_01	197	585	98	440	0,50	0,75	111	479	0,56	0,82	135	508	0,69	0,87	110	468	0,56	0,80	122	485	0,62	0,83	127	491	0,64	0,84	128	492	0,65	0,84	130	494	0,66	0,84
GWSS_E_00316_SE_02	167	463	95	343	0,57	0,74	106	373	0,63	0,81	118	395	0,71	0,85	94	365	0,56	0,79	107	383	0,64	0,83	111	388	0,66	0,84	114	392	0,68	0,85	115	400	0,69	0,86
GWSS_E_00317_SE_01	229	600	116	434	0,51	0,72	132	476	0,58	0,79	160	509	0,70	0,85	131	453	0,57	0,76	151	488	0,66	0,81	161	503	0,70	0,84	163	506	0,71	0,84	164	509	0,72	0,85
GWSS_E_00317_SE_02	122	344	75	271	0,61	0,79	84	286	0,69	0,83	96	309	0,79	0,90	84	289	0,69	0,84	91	299	0,75	0,87	92	302	0,75	0,88	93	304	0,76	0,88	93	304	0,76	0,88
GWSS_E_00318_SE_01	156	391	93	320	0,60	0,82	112	345	0,72	0,88	120	353	0,77	0,90	96	317	0,62	0,81	111	334	0,71	0,85	118	342	0,76	0,87	121	346	0,78	0,88	125	351	0,80	0,90
GWSS_E_00318_SE_02	320	1275	151	1013	0,47	0,79	193	1094	0,60	0,86	248	1172	0,78	0,92	180	1046	0,56	0,82	220	1107	0,69	0,87	234	1125	0,73	0,88	240	1134	0,75	0,89	245	1140	0,77	0,89
