Speech Event	normRate%
GWSS_E_00178_SE_01	6,23
GWSS_E_00179_SE_01	3,72
GWSS_E_00180_SE_01	4,65
GWSS_E_00181_SE_01	3,98
GWSS_E_00182_SE_01	4,30
GWSS_E_00183_SE_01	6,09
GWSS_E_00184_SE_01	4,85
GWSS_E_00185_SE_01	3,55
GWSS_E_00186_SE_01	6,17
GWSS_E_00187_SE_01	4,40
GWSS_E_00188_SE_01	5,21
GWSS_E_00189_SE_01	3,73
GWSS_E_00190_SE_01	3,23
GWSS_E_00191_SE_01	4,32
GWSS_E_00192_SE_01	4,79
GWSS_E_00193_SE_01	3,66
GWSS_E_00194_SE_01	3,62
GWSS_E_00195_SE_01	4,76
GWSS_E_00196_SE_01	4,27
GWSS_E_00197_SE_01	5,94
GWSS_E_00198_SE_01	4,91
GWSS_E_00199_SE_01	3,85
GWSS_E_00200_SE_01	3,47
GWSS_E_00201_SE_01	4,81
GWSS_E_00202_SE_01	5,15
GWSS_E_00203_SE_01	2,21
GWSS_E_00204_SE_01	6,72
GWSS_E_00205_SE_01	6,25
GWSS_E_00206_SE_01	4,47
GWSS_E_00207_SE_01	2,89
GWSS_E_00208_SE_01	8,94
GWSS_E_00209_SE_01	5,93
GWSS_E_00210_SE_01	7,93
GWSS_E_00211_SE_01	12,12
GWSS_E_00212_SE_01	11,87
GWSS_E_00213_SE_01	7,52
GWSS_E_00214_SE_01	11,94
GWSS_E_00215_SE_01	5,92
GWSS_E_00216_SE_01	7,19
GWSS_E_00217_SE_01	9,84
GWSS_E_00218_SE_01	8,89
GWSS_E_00219_SE_01	11,64
GWSS_E_00220_SE_01	5,01
GWSS_E_00221_SE_01	6,09
GWSS_E_00222_SE_01	14,73
GWSS_E_00223_SE_01	9,81
GWSS_E_00224_SE_01	5,08
GWSS_E_00225_SE_01	6,52
GWSS_E_00226_SE_01	5,58
GWSS_E_00227_SE_01	8,19
GWSS_E_00228_SE_01	4,84
GWSS_E_00229_SE_01	7,94
GWSS_E_00230_SE_01	5,00
GWSS_E_00231_SE_01	4,00
GWSS_E_00232_SE_01	6,72
GWSS_E_00233_SE_01	3,70
GWSS_E_00234_SE_01	2,89
GWSS_E_00235_SE_01	5,41
GWSS_E_00236_SE_01	6,03
GWSS_E_00237_SE_01	5,40
GWSS_E_00238_SE_01	6,66
GWSS_E_00239_SE_01	2,89
GWSS_E_00240_SE_01	2,65
GWSS_E_00241_SE_01	4,10
GWSS_E_00242_SE_01	3,11
GWSS_E_00243_SE_01	2,78
GWSS_E_00244_SE_01	3,13
GWSS_E_00245_SE_01	4,37
GWSS_E_00246_SE_01	2,96
GWSS_E_00247_SE_01	3,18
GWSS_E_00248_SE_01	4,29
GWSS_E_00300_SE_01	1,16
GWSS_E_00300_SE_02	3,22
GWSS_E_00301_SE_01	2,24
GWSS_E_00301_SE_02	5,90
GWSS_E_00302_SE_01	1,44
GWSS_E_00302_SE_02	2,32
GWSS_E_00303_SE_01	2,58
GWSS_E_00303_SE_02	2,86
GWSS_E_00304_SE_01	2,11
GWSS_E_00304_SE_02	5,19
GWSS_E_00305_SE_01	2,12
GWSS_E_00305_SE_02	2,87
GWSS_E_00306_SE_01	1,08
GWSS_E_00306_SE_02	3,86
GWSS_E_00307_SE_01	1,06
GWSS_E_00307_SE_02	5,01
GWSS_E_00308_SE_01	1,36
GWSS_E_00308_SE_02	5,01
GWSS_E_00309_SE_01	0,96
GWSS_E_00309_SE_02	4,43
GWSS_E_00310_SE_01	2,86
GWSS_E_00310_SE_02	3,76
GWSS_E_00311_SE_01	1,61
GWSS_E_00311_SE_02	5,06
GWSS_E_00312_SE_01	2,10
GWSS_E_00312_SE_02	4,74
GWSS_E_00313_SE_01	1,58
GWSS_E_00313_SE_02	3,00
GWSS_E_00314_SE_01	3,14
GWSS_E_00314_SE_02	7,96
GWSS_E_00315_SE_01	1,17
GWSS_E_00315_SE_02	2,05
GWSS_E_00316_SE_01	1,81
GWSS_E_00316_SE_02	5,56
GWSS_E_00317_SE_01	1,65
GWSS_E_00317_SE_02	4,46
GWSS_E_00318_SE_01	1,09
GWSS_E_00318_SE_02	5,68
