Speech Event	PRELS‰	PDAT‰	ART-ADJ-NN‰	APPR-ART-ADJ-NN‰
GWSS_E_00109_SE_01	7,56	18,90	3,78	0,00	
GWSS_E_00110_SE_01	17,73	14,18	8,87	5,32	
GWSS_E_00111_SE_01	1,50	9,01	1,50	0,00	
GWSS_E_00112_SE_01	0,00	0,00	5,15	7,73	
GWSS_E_00113_SE_01	7,26	8,71	2,90	1,45	
GWSS_E_00114_SE_01	6,05	8,06	6,05	2,02	
GWSS_E_00115_SE_01	10,79	7,55	4,31	1,08	
GWSS_E_00116_SE_01	3,94	5,91	5,91	1,97	
GWSS_E_00117_SE_01	7,46	0,00	0,00	0,00	
GWSS_E_00118_SE_01	8,50	8,50	7,08	4,25	
GWSS_E_00119_SE_01	5,33	0,00	3,55	0,00	
GWSS_E_00120_SE_01	3,13	7,29	8,33	2,08	
GWSS_E_00121_SE_01	0,00	12,90	6,45	0,00	
GWSS_E_00122_SE_01	14,02	7,79	1,56	4,67	
GWSS_E_00123_SE_01	6,69	13,38	0,00	0,00	
GWSS_E_00124_SE_01	7,56	5,67	1,89	1,89	
GWSS_E_00125_SE_01	4,44	4,44	4,44	0,00	
GWSS_E_00126_SE_01	4,05	16,19	5,40	0,00	
GWSS_E_00127_SE_01	1,58	6,33	7,91	1,58	
GWSS_E_00128_SE_01	0,00	9,26	0,00	0,00	
GWSS_E_00129_SE_01	5,93	11,85	1,48	2,96	
GWSS_E_00130_SE_01	6,09	10,65	1,52	0,00	
GWSS_E_00131_SE_01	5,57	22,28	16,71	5,57	
GWSS_E_00132_SE_01	2,36	7,08	0,00	0,00	
GWSS_E_00133_SE_01	7,04	9,39	2,35	0,00	
GWSS_E_00134_SE_01	8,55	14,96	2,14	2,14	
GWSS_E_00135_SE_01	14,13	12,37	12,37	1,77	
GWSS_E_00136_SE_01	3,83	2,55	8,93	2,55	
GWSS_E_00137_SE_01	10,46	10,46	0,00	2,09	
GWSS_E_00138_SE_01	11,86	11,86	7,91	3,95	
GWSS_E_00139_SE_01	6,49	1,62	8,12	3,25	
GWSS_E_00140_SE_01	0,00	18,05	0,00	0,00	
GWSS_E_00141_SE_01	1,86	11,17	1,86	0,00	
GWSS_E_00142_SE_01	0,00	25,58	6,98	0,00	
GWSS_E_00143_SE_01	6,62	23,18	6,62	2,21	
GWSS_E_00144_SE_01	2,62	5,23	4,80	1,74	
GWSS_E_00145_SE_01	5,64	5,01	8,15	2,19	
GWSS_E_00146_SE_01	4,23	10,72	6,77	1,41	
GWSS_E_00147_SE_01	10,34	5,79	4,55	1,24	
GWSS_E_00148_SE_01	4,84	7,57	6,94	2,31	
GWSS_E_00149_SE_01	6,32	10,87	9,10	2,53	
GWSS_E_00150_SE_01	1,76	8,06	7,05	2,52	
GWSS_E_00151_SE_01	1,34	13,91	9,37	1,07	
GWSS_E_00152_SE_01	3,48	13,90	6,95	1,52	
GWSS_E_00153_SE_01	1,91	6,80	9,78	1,70	
GWSS_E_00154_SE_01	7,27	8,04	15,31	7,27	
GWSS_E_00155_SE_01	8,32	10,26	11,93	5,83	
GWSS_E_00156_SE_01	8,52	6,22	16,05	6,22	
GWSS_E_00157_SE_01	5,05	7,47	17,13	5,71	
GWSS_E_00158_SE_01	4,40	9,43	12,25	3,46	
GWSS_E_00159_SE_01	5,64	10,34	24,45	6,58	
GWSS_E_00160_SE_01	5,65	10,78	11,81	7,96	
GWSS_E_00161_SE_01	4,69	12,49	16,66	7,03	
GWSS_E_00162_SE_01	4,56	5,69	9,68	2,85	
GWSS_E_00163_SE_01	5,54	18,94	7,43	5,54	
GWSS_E_00164_SE_01	5,15	6,34	10,30	3,96	
GWSS_E_00165_SE_01	4,18	11,37	15,32	5,11	
GWSS_E_00166_SE_01	2,40	3,60	15,02	4,80	
GWSS_E_00167_SE_01	6,80	6,80	19,34	8,36	
