Speech Event	tokens	content	ratio
FOLK_E_00261_SE_01	7887	3016	0,38	
FOLK_E_00262_SE_01	2343	1029	0,44	
FOLK_E_00263_SE_01	5002	2256	0,45	
FOLK_E_00264_SE_01	858	318	0,37	
FOLK_E_00265_SE_01	11820	4454	0,38	
FOLK_E_00266_SE_01	23340	9298	0,40	
FOLK_E_00267_SE_01	33763	13265	0,39	
FOLK_E_00268_SE_01	6697	2740	0,41	
FOLK_E_00269_SE_01	4719	1798	0,38	
FOLK_E_00270_SE_01	2264	905	0,40	
FOLK_E_00271_SE_01	9239	3826	0,41	
FOLK_E_00272_SE_01	3845	1578	0,41	
FOLK_E_00273_SE_01	31680	12461	0,39	
FOLK_E_00274_SE_01	10830	4150	0,38	
FOLK_E_00285_SE_01	16033	5999	0,37	
FOLK_E_00286_SE_01	3714	1463	0,39	
FOLK_E_00287_SE_01	20944	8025	0,38	
FOLK_E_00288_SE_01	15719	6699	0,43	
FOLK_E_00289_SE_01	1807	669	0,37	
FOLK_E_00290_SE_01	17523	6954	0,40	
FOLK_E_00291_SE_01	10695	4047	0,38	
FOLK_E_00292_SE_01	3180	1124	0,35	
FOLK_E_00293_SE_01	22744	9114	0,40	
FOLK_E_00294_SE_01	9629	3821	0,40	
FOLK_E_00295_SE_01	6642	2735	0,41	
FOLK_E_00296_SE_01	9812	3927	0,40	
FOLK_E_00298_SE_01	363	153	0,42	
FOLK_E_00299_SE_01	1734	698	0,40	
FOLK_E_00300_SE_01	7758	2945	0,38	
FOLK_E_00301_SE_01	9381	3905	0,42	
FOLK_E_00302_SE_01	1072	385	0,36	
FOLK_E_00303_SE_01	10244	3579	0,35	
FOLK_E_00304_SE_01	497	183	0,37	
FOLK_E_00305_SE_01	236	104	0,44	
FOLK_E_00308_SE_01	11086	4164	0,38	
FOLK_E_00309_SE_01	5526	2025	0,37	
FOLK_E_00313_SE_01	10221	4436	0,43	
FOLK_E_00318_SE_01	3319	1343	0,40	
FOLK_E_00319_SE_01	10382	4288	0,41	
FOLK_E_00321_SE_01	13061	5148	0,39	
FOLK_E_00322_SE_01	9915	3623	0,37	
FOLK_E_00323_SE_01	795	304	0,38	
FOLK_E_00324_SE_01	750	302	0,40	
FOLK_E_00325_SE_01	31048	11780	0,38	
FOLK_E_00327_SE_01	6383	2501	0,39	
FOLK_E_00329_SE_01	23624	9411	0,40	
FOLK_E_00330_SE_01	24184	9559	0,40	
FOLK_E_00331_SE_01	11531	4693	0,41	
FOLK_E_00332_SE_01	1781	677	0,38	
FOLK_E_00333_SE_01	5185	2108	0,41	
FOLK_E_00334_SE_01	2261	910	0,40	
FOLK_E_00335_SE_01	10343	3984	0,39	
FOLK_E_00337_SE_01	9645	4268	0,44	
FOLK_E_00338_SE_01	9619	4466	0,46	
FOLK_E_00339_SE_01	17846	6693	0,38	
FOLK_E_00340_SE_01	21379	7971	0,37	
FOLK_E_00342_SE_01	10419	4236	0,41	
FOLK_E_00343_SE_01	5061	2118	0,42	
FOLK_E_00344_SE_01	8594	3589	0,42	
FOLK_E_00345_SE_01	627	297	0,47	
FOLK_E_00346_SE_01	23920	9185	0,38	
FOLK_E_00347_SE_01	10448	4058	0,39	
FOLK_E_00348_SE_01	14570	5464	0,38	
FOLK_E_00349_SE_01	11673	5050	0,43	
FOLK_E_00350_SE_01	12629	5135	0,41	
FOLK_E_00351_SE_01	12245	5029	0,41	
FOLK_E_00352_SE_01	5878	2307	0,39	
FOLK_E_00353_SE_01	7519	2772	0,37	
FOLK_E_00354_SE_01	6444	2722	0,42	
FOLK_E_00355_SE_01	8187	3371	0,41	
FOLK_E_00356_SE_01	5444	2253	0,41	
FOLK_E_00357_SE_01	10665	3845	0,36	
FOLK_E_00359_SE_01	3852	1577	0,41	
FOLK_E_00360_SE_01	2991	1218	0,41	
FOLK_E_00361_SE_01	12148	5378	0,44	
FOLK_E_00362_SE_01	679	264	0,39	
FOLK_E_00363_SE_01	1105	414	0,37	
FOLK_E_00364_SE_01	1319	453	0,34	
FOLK_E_00365_SE_01	2851	998	0,35	
FOLK_E_00366_SE_01	153	60	0,39	
FOLK_E_00367_SE_01	59	19	0,32	
FOLK_E_00368_SE_01	314	149	0,47	
FOLK_E_00370_SE_01	19093	6708	0,35	
FOLK_E_00371_SE_01	1918	727	0,38	
