Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
FOLK_E_00347_SE_01	4,23	3,27	0,19	0,10	0,00	0,19	0,19	0,29	
FOLK_E_00348_SE_01	8,77	8,01	0,07	0,07	0,28	0,07	0,07	0,21	
FOLK_E_00349_SE_01	7,16	5,09	0,00	0,52	0,17	0,09	0,69	0,60	
FOLK_E_00350_SE_01	4,97	3,05	0,16	0,32	0,00	0,00	0,40	1,04	
FOLK_E_00351_SE_01	7,93	5,78	0,50	0,41	0,17	0,00	0,08	0,99	
FOLK_E_00352_SE_01	11,62	7,69	0,17	0,17	0,00	0,00	1,37	2,22	
FOLK_E_00353_SE_01	5,36	3,62	0,80	0,40	0,00	0,13	0,40	0,00	
FOLK_E_00354_SE_01	5,80	4,23	0,00	0,31	0,31	0,00	0,63	0,31	
FOLK_E_00355_SE_01	3,32	1,35	0,00	0,12	0,00	0,00	0,37	1,48	
FOLK_E_00356_SE_01	2,97	1,48	0,56	0,19	0,19	0,00	0,00	0,56	
FOLK_E_00357_SE_01	3,04	1,90	0,19	0,00	0,19	0,09	0,09	0,57	
FOLK_E_00359_SE_01	10,22	8,91	0,00	0,26	0,00	0,00	0,26	0,79	
FOLK_E_00360_SE_01	7,74	6,06	0,00	0,00	0,00	0,00	0,34	1,35	
FOLK_E_00361_SE_01	24,73	12,45	0,08	1,57	0,66	1,15	5,03	3,79	
FOLK_E_00362_SE_01	15,04	7,52	0,00	1,50	0,00	0,00	1,50	4,51	
FOLK_E_00363_SE_01	11,01	7,34	0,00	1,83	0,92	0,92	0,00	0,00	
FOLK_E_00364_SE_01	15,23	9,14	0,00	0,00	0,00	3,05	0,00	3,05	
FOLK_E_00365_SE_01	13,27	11,48	0,00	0,00	0,00	0,00	0,72	1,08	
FOLK_E_00366_SE_01	6,58	6,58	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00367_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00368_SE_01	3,19	0,00	0,00	0,00	0,00	0,00	0,00	3,19	
FOLK_E_00370_SE_01	10,69	4,95	0,05	0,05	1,26	1,16	0,47	2,74	
FOLK_E_00371_SE_01	10,97	3,13	2,09	1,57	0,52	1,57	0,00	2,09	
