Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
FOLK_E_00080_SE_01	5,89	2,10	0,42	0,84	0,00	0,00	0,00	2,53	
FOLK_E_00081_SE_01	5,60	2,80	0,00	0,00	0,00	0,00	0,93	1,87	
FOLK_E_00082_SE_01	8,59	7,63	0,11	0,11	0,00	0,00	0,11	0,64	
FOLK_E_00083_SE_01	11,46	9,39	0,38	0,56	0,00	0,00	0,19	0,94	
FOLK_E_00084_SE_01	5,26	3,21	0,34	0,00	0,14	0,00	0,96	0,61	
FOLK_E_00085_SE_01	2,91	0,00	0,00	0,00	0,00	0,00	2,91	0,00	
FOLK_E_00086_SE_01	4,84	4,10	0,37	0,00	0,00	0,00	0,37	0,00	
FOLK_E_00087_SE_01	4,19	3,14	0,00	0,00	0,00	0,00	0,00	1,05	
FOLK_E_00088_SE_01	8,18	1,64	0,00	0,00	2,62	0,65	1,96	1,31	
FOLK_E_00089_SE_01	2,55	1,91	0,00	0,00	0,00	0,00	0,00	0,64	
FOLK_E_00090_SE_01	3,17	2,11	0,35	0,00	0,00	0,00	0,00	0,70	
FOLK_E_00091_SE_01	2,10	1,40	0,00	0,00	0,00	0,00	0,70	0,00	
FOLK_E_00092_SE_01	4,20	1,20	0,60	0,00	0,00	0,00	1,20	1,20	
FOLK_E_00093_SE_01	1,39	1,04	0,00	0,00	0,00	0,00	0,35	0,00	
FOLK_E_00094_SE_01	3,28	2,95	0,00	0,00	0,00	0,00	0,00	0,33	
FOLK_E_00095_SE_01	1,50	1,50	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00096_SE_01	3,86	3,86	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00097_SE_01	1,75	1,17	0,00	0,00	0,00	0,00	0,58	0,00	
FOLK_E_00098_SE_01	3,70	1,48	0,00	2,22	0,00	0,00	0,00	0,00	
FOLK_E_00099_SE_01	0,66	0,33	0,00	0,00	0,00	0,00	0,33	0,00	
FOLK_E_00100_SE_01	2,51	2,19	0,00	0,00	0,00	0,00	0,00	0,31	
FOLK_E_00101_SE_01	2,48	1,55	0,00	0,00	0,00	0,00	0,00	0,93	
FOLK_E_00102_SE_01	2,07	0,69	0,69	0,00	0,00	0,00	0,69	0,00	
FOLK_E_00103_SE_01	1,61	1,61	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00104_SE_01	1,45	1,45	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00105_SE_01	1,39	0,99	0,00	0,00	0,00	0,00	0,00	0,40	
FOLK_E_00106_SE_01	5,78	4,21	0,53	0,00	0,53	0,00	0,00	0,53	
FOLK_E_00107_SE_01	6,13	6,13	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00108_SE_01	1,83	1,83	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00109_SE_01	0,65	0,65	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00110_SE_01	1,89	0,63	0,32	0,32	0,00	0,00	0,32	0,32	
FOLK_E_00111_SE_01	9,65	6,03	0,00	0,00	0,00	0,00	2,41	1,21	
FOLK_E_00112_SE_01	4,96	3,96	0,50	0,00	0,00	0,00	0,50	0,00	
FOLK_E_00113_SE_01	3,73	1,49	0,00	0,00	0,00	0,00	1,49	0,75	
FOLK_E_00114_SE_01	6,37	4,43	0,00	0,11	0,11	0,00	1,08	0,65	
FOLK_E_00115_SE_01	8,86	7,09	0,25	0,00	0,00	0,00	1,27	0,25	
FOLK_E_00116_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00117_SE_01	8,07	2,99	1,49	0,00	0,00	0,00	2,09	1,49	
FOLK_E_00118_SE_01	8,50	5,80	0,19	0,00	0,19	0,00	1,93	0,39	
FOLK_E_00119_SE_01	6,37	3,56	0,15	0,30	0,74	0,00	0,44	1,19	
FOLK_E_00120_SE_01	14,45	9,50	1,03	0,41	0,41	0,62	1,86	0,62	
FOLK_E_00121_SE_01	12,57	8,04	0,26	1,03	0,09	0,34	1,71	1,11	
FOLK_E_00123_SE_01	21,14	11,60	0,00	0,41	4,14	0,00	4,14	0,83	
FOLK_E_00124_SE_01	12,10	7,88	0,58	1,15	0,00	0,00	1,34	1,15	
FOLK_E_00125_SE_01	20,69	15,71	0,79	0,39	0,79	0,26	1,44	1,31	
FOLK_E_00126_SE_01	31,90	15,85	0,81	1,34	1,95	2,49	6,65	2,82	
FOLK_E_00127_SE_01	15,55	4,11	0,88	1,47	0,88	0,00	4,40	3,81	
FOLK_E_00128_SE_01	10,42	6,67	0,00	0,27	0,09	0,00	2,10	1,28	
FOLK_E_00129_SE_01	4,53	2,14	0,36	0,12	0,36	0,12	0,95	0,48	
FOLK_E_00130_SE_01	7,45	3,23	0,00	0,28	0,84	0,00	1,97	1,12	
FOLK_E_00132_SE_01	5,06	3,13	0,29	0,13	0,05	0,11	0,81	0,54	
FOLK_E_00133_SE_01	4,04	1,73	0,00	0,00	0,00	0,00	2,12	0,19	
