Speech Event	tokens	content	ratio
GWSS_E_00121_SE_01	465	161	0,35	
GWSS_E_00122_SE_01	642	226	0,35	
GWSS_E_00123_SE_01	301	98	0,33	
GWSS_E_00124_SE_01	530	183	0,35	
GWSS_E_00125_SE_01	676	245	0,36	
GWSS_E_00126_SE_01	767	256	0,33	
GWSS_E_00127_SE_01	632	215	0,34	
GWSS_E_00128_SE_01	216	92	0,43	
GWSS_E_00129_SE_01	676	262	0,39	
GWSS_E_00130_SE_01	658	210	0,32	
GWSS_E_00131_SE_01	362	136	0,38	
GWSS_E_00132_SE_01	424	133	0,31	
GWSS_E_00133_SE_01	426	147	0,35	
GWSS_E_00134_SE_01	468	182	0,39	
GWSS_E_00135_SE_01	566	205	0,36	
GWSS_E_00136_SE_01	785	243	0,31	
GWSS_E_00137_SE_01	478	172	0,36	
GWSS_E_00138_SE_01	506	155	0,31	
GWSS_E_00139_SE_01	618	199	0,32	
GWSS_E_00140_SE_01	278	97	0,35	
GWSS_E_00141_SE_01	537	163	0,30	
GWSS_E_00142_SE_01	431	163	0,38	
GWSS_E_00143_SE_01	906	327	0,36	
GWSS_E_00144_SE_01	2295	964	0,42	
GWSS_E_00145_SE_01	3195	1386	0,43	
GWSS_E_00146_SE_01	3549	1525	0,43	
GWSS_E_00147_SE_01	2418	1071	0,44	
GWSS_E_00148_SE_01	4765	1995	0,42	
GWSS_E_00149_SE_01	3958	1691	0,43	
GWSS_E_00150_SE_01	3975	1535	0,39	
GWSS_E_00151_SE_01	3743	1600	0,43	
GWSS_E_00152_SE_01	4609	1716	0,37	
GWSS_E_00153_SE_01	4713	1886	0,40	
GWSS_E_00154_SE_01	2617	1264	0,48	
GWSS_E_00155_SE_01	3616	1521	0,42	
GWSS_E_00156_SE_01	3060	1346	0,44	
GWSS_E_00157_SE_01	4562	2089	0,46	
GWSS_E_00158_SE_01	3199	1322	0,41	
GWSS_E_00159_SE_01	2137	1019	0,48	
GWSS_E_00160_SE_01	3914	1727	0,44	
GWSS_E_00161_SE_01	3867	1821	0,47	
GWSS_E_00162_SE_01	3536	1690	0,48	
GWSS_E_00163_SE_01	6890	2988	0,43	
GWSS_E_00164_SE_01	5088	2175	0,43	
GWSS_E_00165_SE_01	4334	1600	0,37	
GWSS_E_00166_SE_01	3350	1451	0,43	
GWSS_E_00167_SE_01	1922	1043	0,54	
GWSS_E_00168_SE_01	2303	1142	0,50	
GWSS_E_00169_SE_01	1794	795	0,44	
GWSS_E_00170_SE_01	1386	648	0,47	
GWSS_E_00171_SE_01	3069	1554	0,51	
GWSS_E_00172_SE_01	1085	392	0,36	
GWSS_E_00173_SE_01	1007	446	0,44	
GWSS_E_00174_SE_01	742	349	0,47	
GWSS_E_00175_SE_01	4591	2114	0,46	
GWSS_E_00176_SE_01	3092	1316	0,43	
