Speech Event	duration
FOLK_E_00172_SE_01	0:54:36
FOLK_E_00173_SE_01	1:38:24
FOLK_E_00174_SE_01	1:24:03
FOLK_E_00175_SE_01	0:23:40
FOLK_E_00176_SE_01	0:41:30
FOLK_E_00177_SE_01	0:41:41
FOLK_E_00178_SE_01	0:40:21
FOLK_E_00179_SE_01	0:52:56
FOLK_E_00180_SE_01	0:28:38
FOLK_E_00181_SE_01	0:40:17
FOLK_E_00182_SE_01	0:41:15
FOLK_E_00183_SE_01	0:38:33
FOLK_E_00184_SE_01	0:42:08
FOLK_E_00185_SE_01	0:42:04
FOLK_E_00186_SE_01	0:37:00
FOLK_E_00187_SE_01	0:42:06
FOLK_E_00188_SE_01	0:10:34
FOLK_E_00189_SE_01	0:33:16
FOLK_E_00190_SE_01	0:18:12
FOLK_E_00191_SE_01	1:02:54
FOLK_E_00193_SE_01	0:58:14
FOLK_E_00194_SE_01	0:16:52
FOLK_E_00197_SE_01	0:15:41
FOLK_E_00198_SE_01	0:21:58
FOLK_E_00201_SE_01	1:37:58
FOLK_E_00202_SE_01	1:10:49
FOLK_E_00203_SE_01	1:26:58
FOLK_E_00204_SE_01	1:16:00
FOLK_E_00206_SE_01	1:30:09
FOLK_E_00207_SE_01	0:27:32
FOLK_E_00208_SE_01	0:43:13
FOLK_E_00209_SE_01	0:24:49
FOLK_E_00210_SE_01	2:08:22
FOLK_E_00211_SE_01	0:03:17
FOLK_E_00212_SE_01	0:01:05
FOLK_E_00213_SE_01	0:13:52
FOLK_E_00214_SE_01	0:02:21
FOLK_E_00215_SE_01	0:03:39
FOLK_E_00216_SE_01	0:03:33
FOLK_E_00217_SE_01	2:56:49
FOLK_E_00218_SE_01	0:32:02
FOLK_E_00219_SE_01	0:39:11
FOLK_E_00220_SE_01	1:26:44
FOLK_E_00221_SE_01	0:23:57
FOLK_E_00223_SE_01	0:00:52
FOLK_E_00224_SE_01	0:06:17
FOLK_E_00225_SE_01	0:47:05
FOLK_E_00226_SE_01	0:31:32
FOLK_E_00227_SE_01	0:35:33
FOLK_E_00228_SE_01	1:00:23
FOLK_E_00229_SE_01	0:00:45
FOLK_E_00230_SE_01	0:00:53
FOLK_E_00231_SE_01	0:01:15
FOLK_E_00235_SE_01	0:02:49
FOLK_E_00237_SE_01	0:00:56
FOLK_E_00238_SE_01	0:01:40
FOLK_E_00239_SE_01	0:02:00
FOLK_E_00243_SE_01	0:15:35
FOLK_E_00246_SE_01	0:09:45
FOLK_E_00248_SE_01	0:48:34
FOLK_E_00250_SE_01	0:57:04
FOLK_E_00251_SE_01	0:19:07
FOLK_E_00252_SE_01	0:23:53
FOLK_E_00253_SE_01	0:29:15
FOLK_E_00254_SE_01	1:36:35
FOLK_E_00255_SE_01	1:08:19
FOLK_E_00256_SE_01	1:12:17
FOLK_E_00257_SE_01	0:48:53
FOLK_E_00258_SE_01	0:48:30
FOLK_E_00259_SE_01	0:17:09
FOLK_E_00260_SE_01	1:02:15
FOLK_E_00261_SE_01	0:42:31
FOLK_E_00262_SE_01	0:17:02
FOLK_E_00263_SE_01	0:35:40
FOLK_E_00264_SE_01	0:03:33
FOLK_E_00265_SE_01	1:01:32
FOLK_E_00266_SE_01	2:07:00
FOLK_E_00267_SE_01	2:36:02
FOLK_E_00268_SE_01	0:40:35
FOLK_E_00269_SE_01	0:28:55
FOLK_E_00270_SE_01	0:12:18
FOLK_E_00271_SE_01	1:14:07
FOLK_E_00272_SE_01	0:30:04
FOLK_E_00273_SE_01	2:46:29
FOLK_E_00274_SE_01	1:10:26
FOLK_E_00285_SE_01	1:37:51
FOLK_E_00286_SE_01	0:30:54
FOLK_E_00287_SE_01	1:27:18
FOLK_E_00288_SE_01	1:34:28
FOLK_E_00289_SE_01	0:14:10
FOLK_E_00290_SE_01	1:35:37
FOLK_E_00291_SE_01	0:45:05
FOLK_E_00292_SE_01	0:22:48
FOLK_E_00293_SE_01	1:42:27
FOLK_E_00294_SE_01	0:50:25
FOLK_E_00295_SE_01	0:33:21
FOLK_E_00296_SE_01	0:58:54
FOLK_E_00298_SE_01	0:02:36
FOLK_E_00299_SE_01	0:20:49
FOLK_E_00300_SE_01	0:31:54
FOLK_E_00301_SE_01	1:27:38
FOLK_E_00302_SE_01	0:05:25
FOLK_E_00303_SE_01	0:50:46
FOLK_E_00304_SE_01	0:02:59
FOLK_E_00305_SE_01	0:01:27
FOLK_E_00308_SE_01	1:16:31
FOLK_E_00309_SE_01	0:48:56
FOLK_E_00313_SE_01	0:52:49
FOLK_E_00318_SE_01	0:43:09
FOLK_E_00319_SE_01	1:47:05
FOLK_E_00321_SE_01	1:32:22
FOLK_E_00322_SE_01	1:04:00
FOLK_E_00323_SE_01	0:04:33
FOLK_E_00324_SE_01	0:04:09
FOLK_E_00325_SE_01	2:45:21
FOLK_E_00327_SE_01	1:00:24
FOLK_E_00329_SE_01	1:57:43
FOLK_E_00330_SE_01	2:14:43
FOLK_E_00331_SE_01	1:21:27
FOLK_E_00332_SE_01	0:19:03
FOLK_E_00333_SE_01	0:36:50
FOLK_E_00334_SE_01	0:36:52
FOLK_E_00335_SE_01	1:26:01
FOLK_E_00337_SE_01	0:56:21
FOLK_E_00338_SE_01	0:58:27
FOLK_E_00339_SE_01	1:47:54
FOLK_E_00340_SE_01	1:26:18
FOLK_E_00342_SE_01	0:59:20
FOLK_E_00343_SE_01	0:26:56
FOLK_E_00344_SE_01	0:54:37
FOLK_E_00345_SE_01	0:10:13
FOLK_E_00346_SE_01	1:29:54
FOLK_E_00347_SE_01	0:59:00
FOLK_E_00348_SE_01	1:20:38
FOLK_E_00349_SE_01	1:27:50
