Speech Event	contributions per minute	average contribution length	% contributions with 1-2 words
FOLK_E_00129_SE_01	16,26	12,83	22,37	
FOLK_E_00130_SE_01	8,91	16,36	27,41	
FOLK_E_00132_SE_01	28,87	5,65	35,97	
FOLK_E_00133_SE_01	34,58	7,04	30,04	
FOLK_E_00134_SE_01	25,34	7,29	26,77	
FOLK_E_00135_SE_01	28,16	6,33	35,98	
FOLK_E_00136_SE_01	26,13	5,90	30,41	
FOLK_E_00137_SE_01	28,71	4,61	38,06	
FOLK_E_00138_SE_01	30,94	5,52	38,07	
FOLK_E_00139_SE_01	28,85	6,68	31,13	
FOLK_E_00140_SE_01	21,24	5,41	37,50	
FOLK_E_00141_SE_01	27,27	5,77	27,78	
FOLK_E_00142_SE_01	20,07	6,78	38,12	
FOLK_E_00143_SE_01	20,85	8,53	26,83	
FOLK_E_00144_SE_01	6,82	33,28	21,21	
FOLK_E_00146_SE_01	3,39	28,64	30,95	
FOLK_E_00147_SE_01	13,56	12,01	27,65	
FOLK_E_00148_SE_01	13,09	14,43	25,65	
FOLK_E_00150_SE_01	11,62	14,98	31,54	
FOLK_E_00151_SE_01	17,90	10,84	18,10	
FOLK_E_00152_SE_01	13,07	10,12	35,70	
FOLK_E_00153_SE_01	41,54	4,89	22,22	
FOLK_E_00154_SE_01	22,11	6,57	28,57	
FOLK_E_00155_SE_01	21,29	9,45	27,27	
FOLK_E_00156_SE_01	9,72	8,45	32,37	
FOLK_E_00157_SE_01	17,64	8,72	31,70	
FOLK_E_00158_SE_01	19,33	7,38	34,48	
FOLK_E_00159_SE_01	15,00	6,78	44,44	
FOLK_E_00160_SE_01	11,33	15,33	29,24	
FOLK_E_00161_SE_01	25,33	8,28	37,18	
FOLK_E_00162_SE_01	10,81	9,00	27,46	
FOLK_E_00163_SE_01	8,04	12,36	27,44	
FOLK_E_00165_SE_01	16,36	10,39	29,68	
FOLK_E_00166_SE_01	8,79	18,66	28,57	
FOLK_E_00167_SE_01	11,09	12,06	40,00	
FOLK_E_00168_SE_01	13,97	8,02	42,87	
FOLK_E_00169_SE_01	9,87	10,50	36,89	
FOLK_E_00171_SE_01	8,20	18,01	40,86	
FOLK_E_00172_SE_01	9,12	8,38	46,39	
FOLK_E_00173_SE_01	17,07	11,29	33,15	
