Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
GWSS_E_00076_SE_01	16,83	7,29	0,45	2,24	1,12	1,35	2,13	2,24	
GWSS_E_00077_SE_01	16,46	8,38	0,29	0,29	0,58	1,16	3,47	2,31	
GWSS_E_00078_SE_01	17,41	7,25	0,29	0,00	0,00	0,29	6,67	2,90	
GWSS_E_00079_SE_01	15,98	8,14	0,30	2,71	0,30	0,90	0,90	2,71	
GWSS_E_00080_SE_01	16,56	7,83	0,64	1,54	0,51	1,03	3,34	1,67	
GWSS_E_00081_SE_01	11,58	4,95	1,82	0,39	0,39	0,26	2,47	1,30	
GWSS_E_00082_SE_01	11,44	6,90	1,38	0,39	0,00	0,20	2,56	0,00	
GWSS_E_00083_SE_01	16,63	5,80	4,26	0,39	0,00	0,00	5,42	0,77	
GWSS_E_00084_SE_01	13,91	10,22	0,22	0,00	0,22	0,00	1,09	2,17	
GWSS_E_00085_SE_01	18,80	6,84	3,42	0,00	0,00	1,71	6,84	0,00	
GWSS_E_00086_SE_01	37,43	8,02	5,35	10,70	0,00	0,00	8,02	5,35	
GWSS_E_00087_SE_01	25,38	21,57	1,27	0,00	0,00	0,00	1,27	1,27	
GWSS_E_00088_SE_01	34,02	2,96	7,40	1,48	0,00	0,00	14,79	7,40	
GWSS_E_00089_SE_01	47,36	30,84	0,00	0,00	1,10	1,10	9,91	4,41	
GWSS_E_00090_SE_01	12,05	6,49	0,00	0,93	0,00	0,93	1,85	1,85	
GWSS_E_00091_SE_01	28,51	3,42	3,42	0,00	0,00	7,98	7,98	5,70	
GWSS_E_00092_SE_01	45,98	13,79	2,30	0,00	0,00	0,00	22,99	6,90	
GWSS_E_00093_SE_01	45,23	32,31	0,00	0,00	0,00	0,00	9,69	3,23	
GWSS_E_00094_SE_01	62,15	12,71	0,00	0,00	0,00	0,00	39,55	9,89	
GWSS_E_00095_SE_01	17,72	3,32	0,00	0,00	1,11	0,00	8,86	4,43	
GWSS_E_00096_SE_01	38,37	11,29	0,00	0,00	0,00	15,80	11,29	0,00	
GWSS_E_00097_SE_01	34,44	7,95	0,00	1,32	0,00	0,00	21,19	3,97	
GWSS_E_00098_SE_01	41,71	20,29	0,00	3,38	0,00	0,00	18,04	0,00	
GWSS_E_00099_SE_01	16,31	9,79	3,26	0,00	0,00	0,00	1,63	1,63	
GWSS_E_00100_SE_01	27,70	4,37	0,00	0,00	0,00	13,12	10,20	0,00	
GWSS_E_00101_SE_01	27,46	1,77	3,54	0,00	0,00	8,86	11,51	1,77	
GWSS_E_00102_SE_01	21,47	7,91	0,00	2,26	0,00	1,13	5,65	4,52	
GWSS_E_00103_SE_01	21,07	8,10	0,00	1,62	1,62	1,62	4,86	3,24	
GWSS_E_00104_SE_01	32,47	29,22	0,00	0,00	0,00	0,00	1,62	1,62	
GWSS_E_00105_SE_01	13,64	4,55	0,00	0,00	0,00	0,00	4,55	4,55	
GWSS_E_00106_SE_01	21,64	10,25	0,00	0,00	0,00	0,00	5,69	5,69	
GWSS_E_00107_SE_01	18,29	5,23	0,87	0,87	3,48	0,00	4,36	3,48	
GWSS_E_00108_SE_01	15,77	9,01	0,00	0,00	0,00	0,00	6,76	0,00	
GWSS_E_00109_SE_01	22,68	9,45	3,78	0,00	3,78	0,00	3,78	1,89	
GWSS_E_00110_SE_01	19,50	5,32	0,00	0,00	0,00	0,00	10,64	3,55	
GWSS_E_00111_SE_01	42,04	12,01	1,50	9,01	6,01	1,50	10,51	1,50	
GWSS_E_00112_SE_01	38,66	10,31	2,58	0,00	0,00	0,00	25,77	0,00	
GWSS_E_00113_SE_01	26,12	8,71	0,00	0,00	0,00	0,00	13,06	4,35	
GWSS_E_00114_SE_01	18,15	10,08	0,00	0,00	0,00	0,00	8,06	0,00	
GWSS_E_00115_SE_01	35,60	15,10	3,24	1,08	0,00	1,08	15,10	0,00	
GWSS_E_00116_SE_01	13,78	7,87	0,00	0,00	0,00	5,91	0,00	0,00	
GWSS_E_00117_SE_01	26,12	22,39	0,00	0,00	0,00	0,00	3,73	0,00	
GWSS_E_00118_SE_01	49,58	7,08	0,00	0,00	1,42	35,41	5,67	0,00	
GWSS_E_00119_SE_01	17,76	3,55	0,00	0,00	1,78	0,00	8,88	3,55	
GWSS_E_00120_SE_01	29,17	6,25	0,00	2,08	3,13	0,00	16,67	1,04	
GWSS_E_00121_SE_01	27,96	8,60	0,00	0,00	0,00	2,15	17,20	0,00	
GWSS_E_00122_SE_01	20,25	9,35	0,00	4,67	0,00	0,00	1,56	4,67	
GWSS_E_00123_SE_01	30,10	3,34	0,00	0,00	0,00	20,07	6,69	0,00	
GWSS_E_00124_SE_01	34,03	1,89	0,00	0,00	0,00	24,57	5,67	1,89	
GWSS_E_00125_SE_01	28,11	20,71	2,96	0,00	0,00	1,48	2,96	0,00	
GWSS_E_00126_SE_01	49,93	8,10	0,00	0,00	0,00	20,24	21,59	0,00	
GWSS_E_00127_SE_01	37,97	14,24	0,00	0,00	0,00	0,00	20,57	3,16	
GWSS_E_00128_SE_01	18,52	13,89	0,00	0,00	0,00	0,00	4,63	0,00	
GWSS_E_00129_SE_01	8,89	4,44	0,00	0,00	0,00	0,00	1,48	2,96	
GWSS_E_00130_SE_01	9,13	3,04	0,00	0,00	0,00	0,00	6,09	0,00	
GWSS_E_00131_SE_01	25,07	2,79	0,00	0,00	0,00	19,50	2,79	0,00	
GWSS_E_00132_SE_01	14,15	2,36	0,00	0,00	0,00	7,08	2,36	2,36	
GWSS_E_00133_SE_01	7,04	0,00	0,00	2,35	0,00	0,00	4,69	0,00	
GWSS_E_00134_SE_01	14,96	8,55	0,00	0,00	0,00	0,00	2,14	4,27	
GWSS_E_00135_SE_01	37,10	14,13	0,00	0,00	0,00	10,60	8,83	3,53	
GWSS_E_00136_SE_01	16,58	5,10	1,28	7,65	0,00	0,00	1,28	1,28	
GWSS_E_00137_SE_01	12,55	2,09	0,00	0,00	2,09	0,00	8,37	0,00	
GWSS_E_00138_SE_01	37,55	3,95	0,00	0,00	1,98	5,93	23,72	1,98	
GWSS_E_00139_SE_01	9,74	4,87	0,00	0,00	0,00	1,62	1,62	1,62	
GWSS_E_00140_SE_01	32,49	18,05	0,00	0,00	0,00	0,00	14,44	0,00	
GWSS_E_00141_SE_01	16,76	11,17	3,72	0,00	0,00	1,86	0,00	0,00	
GWSS_E_00142_SE_01	20,93	9,30	0,00	0,00	0,00	0,00	11,63	0,00	
GWSS_E_00143_SE_01	15,45	12,14	0,00	1,10	0,00	0,00	2,21	0,00	
GWSS_E_00144_SE_01	35,76	17,44	0,00	1,31	0,00	4,80	8,72	3,49	
GWSS_E_00145_SE_01	20,05	14,41	0,31	0,31	0,31	0,00	2,82	1,88	
GWSS_E_00146_SE_01	25,67	14,95	1,13	0,56	0,56	1,41	4,80	2,26	
GWSS_E_00147_SE_01	18,61	7,86	0,00	0,00	0,00	0,83	7,03	2,89	
GWSS_E_00148_SE_01	17,88	9,46	0,63	0,00	0,00	0,42	6,94	0,42	
GWSS_E_00149_SE_01	14,92	8,34	0,00	0,25	0,25	0,25	3,79	2,02	
GWSS_E_00150_SE_01	11,58	5,54	0,00	0,00	1,26	0,00	2,52	2,27	
GWSS_E_00151_SE_01	9,10	4,55	0,00	0,54	0,54	0,27	2,41	0,80	
GWSS_E_00152_SE_01	9,56	6,73	0,43	0,87	0,00	0,00	0,87	0,65	
GWSS_E_00153_SE_01	11,05	6,59	2,13	0,21	0,00	0,43	0,43	1,28	
GWSS_E_00154_SE_01	33,31	16,85	0,38	1,53	1,91	0,00	4,21	8,42	
GWSS_E_00155_SE_01	37,17	22,75	0,00	0,55	0,28	2,50	9,43	1,66	
GWSS_E_00156_SE_01	38,98	22,60	0,66	3,28	0,33	1,97	7,86	2,29	
GWSS_E_00157_SE_01	44,81	16,03	0,44	6,59	0,22	13,18	5,05	3,29	
GWSS_E_00158_SE_01	17,28	8,48	0,94	0,31	1,57	0,63	4,40	0,94	
GWSS_E_00159_SE_01	40,43	19,75	2,82	6,11	0,47	0,47	8,46	2,35	
GWSS_E_00160_SE_01	28,50	15,40	0,51	2,31	0,00	1,28	6,93	2,05	
GWSS_E_00161_SE_01	38,78	17,44	1,30	2,08	1,04	1,82	10,93	4,16	
GWSS_E_00162_SE_01	12,81	4,56	0,00	1,14	0,00	0,85	3,42	2,85	
GWSS_E_00163_SE_01	17,63	11,80	0,73	0,87	0,15	0,00	3,35	0,73	
GWSS_E_00164_SE_01	20,20	12,28	0,00	0,20	0,20	0,79	4,55	2,18	
GWSS_E_00165_SE_01	16,71	9,05	1,39	0,93	0,46	0,23	3,02	1,62	
GWSS_E_00166_SE_01	30,03	15,92	0,00	2,70	0,30	3,90	5,71	1,50	
GWSS_E_00167_SE_01	30,84	10,98	1,05	2,09	0,52	0,52	12,02	3,66	
GWSS_E_00168_SE_01	17,83	10,87	0,00	0,00	0,00	0,87	2,61	3,48	
GWSS_E_00169_SE_01	8,43	5,62	0,56	0,00	1,12	0,56	0,56	0,00	
GWSS_E_00170_SE_01	30,66	18,98	0,73	0,00	7,30	0,00	3,65	0,00	
GWSS_E_00171_SE_01	21,72	12,84	0,99	1,65	1,65	0,00	4,28	0,33	
GWSS_E_00172_SE_01	16,21	11,44	0,00	0,00	0,95	1,91	1,91	0,00	
GWSS_E_00173_SE_01	14,06	10,04	0,00	1,00	1,00	1,00	0,00	1,00	
GWSS_E_00174_SE_01	21,80	14,99	0,00	0,00	2,72	0,00	4,09	0,00	
GWSS_E_00175_SE_01	21,28	12,94	0,66	0,22	0,66	0,66	3,95	2,19	
GWSS_E_00176_SE_01	31,17	12,01	1,95	3,57	2,27	3,57	6,17	1,62	
GWSS_E_00177_SE_01	18,25	6,57	1,28	0,00	2,74	3,10	3,28	1,28	
GWSS_E_00178_SE_01	14,49	5,48	2,35	0,00	2,74	0,39	3,13	0,39	
GWSS_E_00179_SE_01	16,81	8,85	0,88	0,00	0,44	0,44	6,19	0,00	
GWSS_E_00180_SE_01	21,20	13,36	0,00	0,92	1,38	0,00	4,61	0,92	
GWSS_E_00181_SE_01	19,91	9,26	3,24	0,00	2,78	0,00	3,24	1,39	
GWSS_E_00182_SE_01	18,95	15,57	0,34	0,68	0,00	0,00	1,35	1,02	
GWSS_E_00183_SE_01	7,92	1,98	0,99	0,99	0,00	1,98	0,99	0,99	
GWSS_E_00184_SE_01	21,65	11,81	2,30	0,66	4,26	0,00	2,30	0,33	
GWSS_E_00185_SE_01	27,06	16,82	0,73	1,46	3,29	2,19	1,10	1,46	
GWSS_E_00186_SE_01	31,17	11,27	0,66	0,00	3,32	5,31	10,61	0,00	
GWSS_E_00187_SE_01	23,50	6,71	2,61	0,37	9,32	1,49	1,49	1,49	
GWSS_E_00188_SE_01	17,36	11,57	0,79	0,53	0,00	1,32	1,58	1,58	
GWSS_E_00189_SE_01	13,96	7,41	1,42	1,14	0,00	0,28	2,56	1,14	
GWSS_E_00190_SE_01	30,10	20,52	3,83	0,27	1,64	1,92	0,82	1,09	
GWSS_E_00191_SE_01	14,41	7,20	0,29	0,58	1,15	0,00	1,73	3,46	
