Speech Event	duration
GWSS_E_00153_SE_01	0:32:40
GWSS_E_00154_SE_01	0:21:06
GWSS_E_00155_SE_01	0:26:32
GWSS_E_00156_SE_01	0:26:26
GWSS_E_00157_SE_01	0:35:15
GWSS_E_00158_SE_01	0:27:14
GWSS_E_00159_SE_01	0:22:01
GWSS_E_00160_SE_01	0:29:54
GWSS_E_00161_SE_01	0:29:21
GWSS_E_00162_SE_01	0:26:37
GWSS_E_00163_SE_01	0:50:00
GWSS_E_00164_SE_01	0:37:46
GWSS_E_00165_SE_01	0:34:37
GWSS_E_00166_SE_01	0:26:39
GWSS_E_00167_SE_01	0:17:45
GWSS_E_00168_SE_01	0:22:17
GWSS_E_00169_SE_01	0:14:01
GWSS_E_00170_SE_01	0:09:38
GWSS_E_00171_SE_01	0:21:46
GWSS_E_00172_SE_01	0:07:49
GWSS_E_00173_SE_01	0:07:34
GWSS_E_00174_SE_01	0:07:32
GWSS_E_00175_SE_01	0:33:30
GWSS_E_00176_SE_01	0:23:29
GWSS_E_00177_SE_01	0:33:40
GWSS_E_00178_SE_01	0:16:01
GWSS_E_00179_SE_01	0:19:35
GWSS_E_00180_SE_01	0:16:32
GWSS_E_00181_SE_01	0:16:35
GWSS_E_00182_SE_01	0:18:54
GWSS_E_00183_SE_01	0:13:41
GWSS_E_00184_SE_01	0:20:39
GWSS_E_00185_SE_01	0:20:15
GWSS_E_00186_SE_01	0:12:25
GWSS_E_00187_SE_01	0:17:16
GWSS_E_00188_SE_01	0:28:20
GWSS_E_00189_SE_01	0:23:03
GWSS_E_00190_SE_01	0:24:05
GWSS_E_00191_SE_01	0:21:18
GWSS_E_00192_SE_01	0:25:43
GWSS_E_00193_SE_01	0:23:03
GWSS_E_00194_SE_01	0:20:52
GWSS_E_00195_SE_01	0:18:30
GWSS_E_00196_SE_01	0:21:03
GWSS_E_00197_SE_01	0:21:44
GWSS_E_00198_SE_01	0:20:47
GWSS_E_00199_SE_01	0:25:18
GWSS_E_00200_SE_01	0:25:02
GWSS_E_00201_SE_01	0:20:36
GWSS_E_00202_SE_01	0:24:19
GWSS_E_00203_SE_01	0:19:01
GWSS_E_00204_SE_01	0:22:15
GWSS_E_00205_SE_01	0:21:38
GWSS_E_00206_SE_01	0:24:28
GWSS_E_00207_SE_01	0:19:05
GWSS_E_00208_SE_01	0:07:16
GWSS_E_00209_SE_01	0:16:22
GWSS_E_00210_SE_01	0:06:01
GWSS_E_00211_SE_01	0:15:49
GWSS_E_00212_SE_01	0:24:23
GWSS_E_00213_SE_01	0:13:15
GWSS_E_00214_SE_01	0:07:24
GWSS_E_00215_SE_01	0:06:29
GWSS_E_00216_SE_01	0:10:22
GWSS_E_00217_SE_01	0:11:24
GWSS_E_00218_SE_01	0:07:08
GWSS_E_00219_SE_01	0:08:05
GWSS_E_00220_SE_01	0:11:16
GWSS_E_00221_SE_01	0:05:57
GWSS_E_00222_SE_01	0:08:53
GWSS_E_00223_SE_01	0:05:41
GWSS_E_00224_SE_01	0:05:13
GWSS_E_00225_SE_01	0:26:31
GWSS_E_00226_SE_01	0:22:08
GWSS_E_00227_SE_01	0:24:29
GWSS_E_00228_SE_01	0:26:26
GWSS_E_00229_SE_01	0:32:03
GWSS_E_00230_SE_01	0:31:47
GWSS_E_00231_SE_01	0:35:47
GWSS_E_00232_SE_01	0:31:00
GWSS_E_00233_SE_01	0:21:53
GWSS_E_00234_SE_01	0:28:06
GWSS_E_00235_SE_01	0:32:59
GWSS_E_00236_SE_01	0:42:28
GWSS_E_00237_SE_01	0:39:12
GWSS_E_00238_SE_01	0:29:22
GWSS_E_00239_SE_01	0:29:23
GWSS_E_00240_SE_01	0:24:12
GWSS_E_00241_SE_01	0:29:39
GWSS_E_00242_SE_01	0:36:32
GWSS_E_00243_SE_01	0:26:07
GWSS_E_00244_SE_01	0:30:27
GWSS_E_00245_SE_01	0:30:09
GWSS_E_00246_SE_01	0:44:02
GWSS_E_00247_SE_01	0:30:02
GWSS_E_00248_SE_01	0:36:45
GWSS_E_00300_SE_01	0:09:11
GWSS_E_00300_SE_02	0:06:33
GWSS_E_00301_SE_01	0:11:41
GWSS_E_00301_SE_02	0:05:22
GWSS_E_00302_SE_01	0:11:07
GWSS_E_00302_SE_02	0:03:54
GWSS_E_00303_SE_01	0:07:45
GWSS_E_00303_SE_02	0:03:11
GWSS_E_00304_SE_01	0:10:22
GWSS_E_00304_SE_02	0:21:22
GWSS_E_00305_SE_01	0:05:55
GWSS_E_00305_SE_02	0:02:07
GWSS_E_00306_SE_01	0:11:19
GWSS_E_00306_SE_02	0:12:23
GWSS_E_00307_SE_01	0:08:09
GWSS_E_00307_SE_02	0:09:40
GWSS_E_00308_SE_01	0:07:34
GWSS_E_00308_SE_02	0:14:17
GWSS_E_00309_SE_01	0:08:29
GWSS_E_00309_SE_02	0:15:04
GWSS_E_00310_SE_01	0:11:37
GWSS_E_00310_SE_02	0:05:16
GWSS_E_00311_SE_01	0:11:36
GWSS_E_00311_SE_02	0:02:36
GWSS_E_00312_SE_01	0:05:59
GWSS_E_00312_SE_02	0:06:09
GWSS_E_00313_SE_01	0:05:50
GWSS_E_00313_SE_02	0:06:35
GWSS_E_00314_SE_01	0:06:28
GWSS_E_00314_SE_02	0:04:18
GWSS_E_00315_SE_01	0:05:03
GWSS_E_00315_SE_02	0:12:12
GWSS_E_00316_SE_01	0:07:18
GWSS_E_00316_SE_02	0:04:29
GWSS_E_00317_SE_01	0:09:15
GWSS_E_00317_SE_02	0:03:55
GWSS_E_00318_SE_01	0:05:43
GWSS_E_00318_SE_02	0:10:39
