Speech Event	normRate%
FOLK_E_00188_SE_01	13,55
FOLK_E_00189_SE_01	11,27
FOLK_E_00190_SE_01	16,51
FOLK_E_00191_SE_01	18,29
FOLK_E_00193_SE_01	23,60
FOLK_E_00194_SE_01	22,47
FOLK_E_00197_SE_01	17,92
FOLK_E_00198_SE_01	19,40
FOLK_E_00201_SE_01	17,49
FOLK_E_00202_SE_01	21,94
FOLK_E_00203_SE_01	16,24
FOLK_E_00204_SE_01	19,94
FOLK_E_00206_SE_01	9,54
FOLK_E_00207_SE_01	18,74
FOLK_E_00208_SE_01	18,18
FOLK_E_00209_SE_01	15,64
FOLK_E_00210_SE_01	8,83
FOLK_E_00211_SE_01	19,43
FOLK_E_00212_SE_01	16,57
FOLK_E_00213_SE_01	21,82
FOLK_E_00214_SE_01	16,39
FOLK_E_00215_SE_01	20,57
FOLK_E_00216_SE_01	15,06
FOLK_E_00217_SE_01	22,64
FOLK_E_00218_SE_01	20,33
FOLK_E_00219_SE_01	10,24
FOLK_E_00220_SE_01	14,13
FOLK_E_00221_SE_01	14,37
FOLK_E_00223_SE_01	18,56
FOLK_E_00224_SE_01	15,25
FOLK_E_00225_SE_01	17,31
FOLK_E_00226_SE_01	14,23
FOLK_E_00227_SE_01	19,76
FOLK_E_00228_SE_01	19,16
FOLK_E_00229_SE_01	20,29
FOLK_E_00230_SE_01	30,28
FOLK_E_00231_SE_01	26,27
FOLK_E_00235_SE_01	27,98
FOLK_E_00237_SE_01	30,34
FOLK_E_00238_SE_01	35,65
FOLK_E_00239_SE_01	17,54
FOLK_E_00243_SE_01	14,19
FOLK_E_00246_SE_01	17,13
FOLK_E_00248_SE_01	13,20
FOLK_E_00250_SE_01	14,14
FOLK_E_00251_SE_01	17,10
FOLK_E_00252_SE_01	18,00
FOLK_E_00253_SE_01	20,09
FOLK_E_00254_SE_01	14,42
FOLK_E_00255_SE_01	19,19
FOLK_E_00256_SE_01	13,42
FOLK_E_00257_SE_01	13,78
FOLK_E_00258_SE_01	14,80
FOLK_E_00259_SE_01	22,72
FOLK_E_00260_SE_01	15,31
FOLK_E_00261_SE_01	20,10
FOLK_E_00262_SE_01	18,17
FOLK_E_00263_SE_01	18,80
FOLK_E_00264_SE_01	16,47
FOLK_E_00265_SE_01	17,33
FOLK_E_00266_SE_01	14,72
FOLK_E_00267_SE_01	14,65
FOLK_E_00268_SE_01	24,44
FOLK_E_00269_SE_01	11,09
FOLK_E_00270_SE_01	18,44
FOLK_E_00271_SE_01	21,06
FOLK_E_00272_SE_01	14,01
FOLK_E_00273_SE_01	11,03
FOLK_E_00274_SE_01	10,67
FOLK_E_00285_SE_01	14,96
FOLK_E_00286_SE_01	10,66
FOLK_E_00287_SE_01	15,05
FOLK_E_00288_SE_01	12,40
FOLK_E_00289_SE_01	20,01
FOLK_E_00290_SE_01	13,04
FOLK_E_00291_SE_01	17,09
FOLK_E_00292_SE_01	16,03
FOLK_E_00293_SE_01	25,19
FOLK_E_00294_SE_01	43,26
FOLK_E_00295_SE_01	14,26
FOLK_E_00296_SE_01	12,71
FOLK_E_00298_SE_01	16,25
FOLK_E_00299_SE_01	21,25
FOLK_E_00300_SE_01	17,17
FOLK_E_00301_SE_01	16,23
FOLK_E_00302_SE_01	12,27
FOLK_E_00303_SE_01	11,95
FOLK_E_00304_SE_01	23,63
FOLK_E_00305_SE_01	13,14
FOLK_E_00308_SE_01	15,83
FOLK_E_00309_SE_01	19,11
FOLK_E_00311_SE_01	10,19
FOLK_E_00313_SE_01	12,15
FOLK_E_00315_SE_01	4,57
FOLK_E_00316_SE_01	10,83
FOLK_E_00317_SE_01	6,40
FOLK_E_00318_SE_01	31,48
FOLK_E_00319_SE_01	40,70
FOLK_E_00321_SE_01	14,65
FOLK_E_00322_SE_01	20,29
FOLK_E_00323_SE_01	13,11
FOLK_E_00324_SE_01	15,47
FOLK_E_00325_SE_01	15,86
FOLK_E_00327_SE_01	17,58
FOLK_E_00329_SE_01	14,83
FOLK_E_00330_SE_01	11,36
FOLK_E_00331_SE_01	20,11
FOLK_E_00332_SE_01	18,52
FOLK_E_00333_SE_01	22,13
FOLK_E_00334_SE_01	17,20
FOLK_E_00335_SE_01	14,98
FOLK_E_00337_SE_01	4,02
FOLK_E_00338_SE_01	6,32
FOLK_E_00339_SE_01	7,33
FOLK_E_00340_SE_01	46,00
FOLK_E_00342_SE_01	17,78
FOLK_E_00343_SE_01	19,34
FOLK_E_00344_SE_01	14,99
FOLK_E_00345_SE_01	33,49
FOLK_E_00346_SE_01	15,96
FOLK_E_00347_SE_01	13,20
FOLK_E_00348_SE_01	23,32
FOLK_E_00349_SE_01	20,45
FOLK_E_00350_SE_01	23,64
FOLK_E_00351_SE_01	25,24
FOLK_E_00352_SE_01	7,59
FOLK_E_00353_SE_01	14,68
FOLK_E_00354_SE_01	14,21
FOLK_E_00355_SE_01	15,53
FOLK_E_00356_SE_01	12,85
FOLK_E_00357_SE_01	24,65
FOLK_E_00358_SE_01	12,84
FOLK_E_00359_SE_01	18,32
FOLK_E_00360_SE_01	15,25
FOLK_E_00361_SE_01	3,45
FOLK_E_00362_SE_01	13,38
FOLK_E_00363_SE_01	7,98
FOLK_E_00364_SE_01	11,27
FOLK_E_00365_SE_01	11,37
FOLK_E_00366_SE_01	11,18
FOLK_E_00367_SE_01	18,64
FOLK_E_00368_SE_01	20,77
FOLK_E_00370_SE_01	11,37
FOLK_E_00371_SE_01	5,80
FOLK_E_00372_SE_01	36,54
FOLK_E_00373_SE_01	40,01
FOLK_E_00374_SE_01	11,66
FOLK_E_00375_SE_01	14,00
FOLK_E_00376_SE_01	37,51
FOLK_E_00377_SE_01	31,20
FOLK_E_00378_SE_01	17,79
FOLK_E_00379_SE_01	8,40
FOLK_E_00380_SE_01	7,18
FOLK_E_00384_SE_01	4,54
FOLK_E_00385_SE_01	19,49
FOLK_E_00386_SE_01	10,52
FOLK_E_00387_SE_01	3,85
FOLK_E_00388_SE_01	3,23
FOLK_E_00389_SE_01	2,75
FOLK_E_00390_SE_01	2,53
FOLK_E_00391_SE_01	10,95
FOLK_E_00392_SE_01	15,23
FOLK_E_00395_SE_01	5,49
FOLK_E_00398_SE_01	13,46
FOLK_E_00401_SE_01	12,79
