Speech Event	PRELS‰	PDAT‰	ART-ADJ-NN‰	APPR-ART-ADJ-NN‰
FOLK_E_00113_SE_01	0,75	0,00	1,49	0,00	
FOLK_E_00114_SE_01	1,73	2,27	4,64	1,62	
FOLK_E_00115_SE_01	1,52	4,05	4,81	2,53	
FOLK_E_00116_SE_01	0,00	4,03	6,05	0,00	
FOLK_E_00117_SE_01	1,79	1,79	7,17	1,79	
FOLK_E_00118_SE_01	3,48	1,74	4,83	1,55	
FOLK_E_00119_SE_01	2,22	2,96	2,96	0,30	
FOLK_E_00120_SE_01	4,75	5,16	4,95	0,41	
FOLK_E_00121_SE_01	5,30	6,50	5,90	2,05	
FOLK_E_00123_SE_01	2,49	7,87	8,29	2,07	
FOLK_E_00124_SE_01	3,07	1,92	9,99	1,15	
FOLK_E_00125_SE_01	3,67	4,19	9,95	2,49	
FOLK_E_00126_SE_01	7,25	9,81	12,56	5,51	
FOLK_E_00127_SE_01	1,76	4,69	6,46	1,17	
FOLK_E_00128_SE_01	2,65	1,10	5,12	2,19	
FOLK_E_00129_SE_01	4,05	2,26	4,65	2,14	
FOLK_E_00130_SE_01	2,25	3,09	6,47	2,25	
FOLK_E_00132_SE_01	2,78	2,91	5,04	0,92	
FOLK_E_00133_SE_01	0,96	1,15	3,46	0,19	
FOLK_E_00134_SE_01	0,34	0,00	2,40	0,34	
FOLK_E_00135_SE_01	0,00	0,00	1,46	0,00	
FOLK_E_00136_SE_01	1,85	0,46	2,77	2,31	
FOLK_E_00137_SE_01	0,00	0,00	1,68	0,00	
FOLK_E_00138_SE_01	0,00	0,45	3,56	1,78	
FOLK_E_00139_SE_01	0,98	1,95	1,95	0,98	
FOLK_E_00140_SE_01	0,85	0,00	2,12	0,42	
FOLK_E_00141_SE_01	0,93	0,00	2,80	0,93	
FOLK_E_00142_SE_01	0,71	1,42	4,97	0,00	
FOLK_E_00143_SE_01	2,80	0,27	2,80	0,61	
FOLK_E_00144_SE_01	4,17	7,18	4,51	1,84	
FOLK_E_00146_SE_01	3,14	3,64	6,45	2,15	
FOLK_E_00147_SE_01	3,43	1,12	3,71	0,42	
FOLK_E_00148_SE_01	2,79	2,25	2,43	0,45	
FOLK_E_00150_SE_01	3,47	1,49	6,44	1,98	
FOLK_E_00151_SE_01	0,89	0,00	2,68	0,89	
FOLK_E_00152_SE_01	1,71	3,66	1,30	0,33	
FOLK_E_00153_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00154_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00155_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00156_SE_01	1,65	4,12	6,60	1,65	
FOLK_E_00157_SE_01	4,20	7,09	1,74	0,43	
FOLK_E_00158_SE_01	3,95	7,91	3,95	3,95	
FOLK_E_00159_SE_01	0,00	0,00	0,00	0,00	
FOLK_E_00160_SE_01	0,46	3,34	2,13	0,46	
