Speech Event	contributions per minute	average contribution length	% contributions with 1-2 words
GWSS_E_00124_SE_01	11,59	12,41	29,41	
GWSS_E_00125_SE_01	6,61	16,64	30,95	
GWSS_E_00126_SE_01	5,45	30,12	26,92	
GWSS_E_00127_SE_01	8,78	12,40	29,17	
GWSS_E_00128_SE_01	8,74	7,52	27,59	
GWSS_E_00129_SE_01	11,44	12,69	32,79	
GWSS_E_00130_SE_01	10,53	14,26	30,00	
GWSS_E_00131_SE_01	8,45	17,45	10,00	
GWSS_E_00132_SE_01	15,00	10,88	27,91	
GWSS_E_00133_SE_01	11,21	11,95	35,14	
GWSS_E_00134_SE_01	8,99	13,78	29,73	
GWSS_E_00135_SE_01	6,06	21,50	21,88	
GWSS_E_00136_SE_01	5,18	32,73	23,08	
GWSS_E_00137_SE_01	6,88	19,40	20,00	
GWSS_E_00138_SE_01	12,38	12,30	32,61	
GWSS_E_00139_SE_01	14,26	11,55	32,76	
GWSS_E_00140_SE_01	10,91	10,00	36,67	
GWSS_E_00141_SE_01	9,96	10,36	26,67	
GWSS_E_00142_SE_01	7,13	28,18	23,53	
GWSS_E_00143_SE_01	7,86	15,80	42,59	
GWSS_E_00144_SE_01	7,86	13,63	29,31	
GWSS_E_00145_SE_01	7,31	16,00	20,28	
GWSS_E_00146_SE_01	7,52	15,37	28,28	
GWSS_E_00147_SE_01	10,24	10,22	27,27	
GWSS_E_00148_SE_01	10,21	12,18	31,99	
GWSS_E_00149_SE_01	12,26	11,32	22,60	
GWSS_E_00150_SE_01	17,57	8,03	39,88	
GWSS_E_00151_SE_01	12,04	11,42	33,44	
GWSS_E_00152_SE_01	18,28	10,08	34,16	
GWSS_E_00153_SE_01	16,29	8,72	40,41	
GWSS_E_00154_SE_01	3,98	31,43	30,95	
GWSS_E_00155_SE_01	2,75	49,63	30,14	
GWSS_E_00156_SE_01	3,71	30,88	20,41	
GWSS_E_00157_SE_01	3,91	32,96	27,54	
GWSS_E_00158_SE_01	2,90	40,42	22,78	
GWSS_E_00159_SE_01	2,63	36,79	17,24	
GWSS_E_00160_SE_01	4,52	28,16	37,04	
GWSS_E_00161_SE_01	3,95	33,13	30,17	
GWSS_E_00162_SE_01	5,03	27,20	36,57	
GWSS_E_00163_SE_01	5,02	27,31	35,46	
GWSS_E_00164_SE_01	5,75	22,42	25,81	
GWSS_E_00165_SE_01	4,65	26,99	22,36	
GWSS_E_00166_SE_01	3,90	30,83	18,27	
GWSS_E_00167_SE_01	1,97	54,14	20,00	
GWSS_E_00168_SE_01	1,75	58,79	15,38	
GWSS_E_00169_SE_01	2,07	55,34	27,59	
GWSS_E_00170_SE_01	3,11	40,83	13,33	
GWSS_E_00171_SE_01	0,92	157,20	35,00	
GWSS_E_00172_SE_01	2,43	79,47	0,00	
GWSS_E_00173_SE_01	2,11	63,81	25,00	
GWSS_E_00174_SE_01	5,04	165,55	7,89	
GWSS_E_00175_SE_01	9,52	14,03	33,23	
GWSS_E_00176_SE_01	5,07	25,30	31,09	
GWSS_E_00177_SE_01	8,17	19,75	31,64	
GWSS_E_00178_SE_01	8,30	19,54	36,84	
GWSS_E_00179_SE_01	19,71	6,12	44,82	
GWSS_E_00180_SE_01	11,01	12,99	36,26	
GWSS_E_00181_SE_01	7,36	19,17	31,97	
GWSS_E_00182_SE_01	6,40	23,20	35,54	
GWSS_E_00183_SE_01	5,48	28,20	38,67	
GWSS_E_00184_SE_01	6,59	23,17	30,88	
GWSS_E_00185_SE_01	7,31	17,91	36,49	
GWSS_E_00186_SE_01	9,50	13,17	49,15	
GWSS_E_00187_SE_01	3,24	53,20	28,57	
GWSS_E_00188_SE_01	7,76	17,15	41,36	
GWSS_E_00189_SE_01	9,80	14,15	40,27	
GWSS_E_00190_SE_01	12,29	12,75	34,80	
GWSS_E_00191_SE_01	11,97	14,76	37,65	
GWSS_E_00192_SE_01	14,93	10,91	44,27	
GWSS_E_00193_SE_01	12,23	13,91	37,23	
GWSS_E_00194_SE_01	9,44	13,35	35,03	
GWSS_E_00195_SE_01	7,84	18,06	31,72	
GWSS_E_00196_SE_01	11,69	10,19	49,19	
GWSS_E_00197_SE_01	16,56	9,61	43,06	
GWSS_E_00198_SE_01	9,43	13,87	37,24	
GWSS_E_00199_SE_01	10,71	14,08	36,16	
GWSS_E_00200_SE_01	6,19	27,32	25,81	
GWSS_E_00201_SE_01	12,67	10,03	37,93	
GWSS_E_00202_SE_01	8,39	14,86	40,69	
GWSS_E_00203_SE_01	5,57	26,52	37,74	
GWSS_E_00204_SE_01	7,19	25,71	21,88	
GWSS_E_00205_SE_01	9,61	17,68	29,81	
GWSS_E_00206_SE_01	9,16	14,03	40,63	
GWSS_E_00207_SE_01	9,07	14,10	31,21	
GWSS_E_00208_SE_01	5,64	21,15	36,59	
GWSS_E_00209_SE_01	0,61	218,00	30,00	
GWSS_E_00210_SE_01	4,49	86,85	3,70	
GWSS_E_00211_SE_01	8,79	15,60	29,50	
GWSS_E_00212_SE_01	15,54	10,93	40,11	
GWSS_E_00213_SE_01	5,36	19,49	29,58	
GWSS_E_00214_SE_01	3,38	42,92	24,00	
GWSS_E_00215_SE_01	2,16	63,43	21,43	
GWSS_E_00216_SE_01	2,41	57,72	16,00	
GWSS_E_00217_SE_01	6,32	190,94	8,33	
GWSS_E_00218_SE_01	2,94	92,10	4,76	
GWSS_E_00219_SE_01	14,72	364,76	1,68	
GWSS_E_00220_SE_01	21,66	729,62	1,23	
GWSS_E_00221_SE_01	3,36	35,35	20,00	
GWSS_E_00222_SE_01	1,69	64,27	13,33	
GWSS_E_00223_SE_01	12,14	142,62	4,35	
GWSS_E_00224_SE_01	4,79	31,72	8,00	
GWSS_E_00225_SE_01	3,21	101,81	5,88	
GWSS_E_00226_SE_01	2,30	56,92	13,73	
GWSS_E_00227_SE_01	8,45	16,45	38,65	
GWSS_E_00228_SE_01	4,24	62,44	24,11	
GWSS_E_00229_SE_01	6,77	19,08	29,49	
GWSS_E_00230_SE_01	3,21	48,46	25,49	
GWSS_E_00231_SE_01	3,74	33,80	29,10	
GWSS_E_00232_SE_01	4,03	35,19	34,40	
GWSS_E_00233_SE_01	1,37	96,17	13,33	
GWSS_E_00234_SE_01	2,10	159,29	3,39	
GWSS_E_00235_SE_01	6,06	23,78	39,00	
GWSS_E_00236_SE_01	3,32	42,04	39,01	
GWSS_E_00237_SE_01	2,76	51,53	25,00	
GWSS_E_00238_SE_01	3,23	42,84	34,74	
GWSS_E_00239_SE_01	4,63	23,23	40,44	
GWSS_E_00240_SE_01	7,52	16,36	45,05	
GWSS_E_00241_SE_01	1,92	52,02	31,58	
GWSS_E_00242_SE_01	4,82	27,10	34,66	
GWSS_E_00243_SE_01	1,49	68,46	28,21	
GWSS_E_00244_SE_01	3,74	29,30	31,58	
GWSS_E_00245_SE_01	3,52	53,30	19,81	
GWSS_E_00246_SE_01	5,16	24,04	34,80	
GWSS_E_00247_SE_01	5,06	21,14	36,18	
GWSS_E_00248_SE_01	4,16	28,63	32,03	
GWSS_E_00300_SE_01	0,22	431,50	0,00	
GWSS_E_00300_SE_02	10,53	11,71	39,13	
GWSS_E_00301_SE_01	0,34	201,00	50,00	
GWSS_E_00301_SE_02	12,67	9,21	47,06	
GWSS_E_00302_SE_01	0,27	348,00	66,67	
GWSS_E_00302_SE_02	8,21	11,94	46,88	
GWSS_E_00303_SE_01	0,52	145,50	50,00	
GWSS_E_00303_SE_02	9,74	10,39	48,39	
GWSS_E_00304_SE_01	0,19	498,50	0,00	
GWSS_E_00304_SE_02	5,52	17,51	32,20	
GWSS_E_00305_SE_01	2,20	50,77	15,38	
GWSS_E_00305_SE_02	9,92	8,24	9,52	
GWSS_E_00306_SE_01	0,27	407,00	0,00	
GWSS_E_00306_SE_02	3,96	28,12	24,49	
GWSS_E_00307_SE_01	0,86	80,86	57,14	
GWSS_E_00307_SE_02	1,76	40,88	35,29	
GWSS_E_00308_SE_01	0,40	150,33	0,00	
GWSS_E_00308_SE_02	9,45	12,17	35,56	
GWSS_E_00309_SE_01	0,24	366,00	0,00	
GWSS_E_00309_SE_02	7,83	13,77	35,59	
GWSS_E_00310_SE_01	0,43	161,00	20,00	
GWSS_E_00310_SE_02	4,37	26,70	30,43	
GWSS_E_00311_SE_01	0,69	181,63	25,00	
GWSS_E_00311_SE_02	6,54	15,71	29,41	
GWSS_E_00312_SE_01	1,17	88,29	71,43	
GWSS_E_00312_SE_02	9,11	14,30	37,50	
GWSS_E_00313_SE_01	0,34	253,00	50,00	
GWSS_E_00313_SE_02	10,78	10,82	43,66	
GWSS_E_00314_SE_01	0,62	135,25	50,00	
GWSS_E_00314_SE_02	6,74	20,62	20,69	
GWSS_E_00315_SE_01	0,20	514,00	0,00	
GWSS_E_00315_SE_02	1,39	60,18	17,65	
GWSS_E_00316_SE_01	0,55	223,50	25,00	
GWSS_E_00316_SE_02	17,40	6,47	47,44	
GWSS_E_00317_SE_01	0,22	364,50	50,00	
GWSS_E_00317_SE_02	9,19	11,19	41,67	
GWSS_E_00318_SE_01	0,17	458,00	0,00	
GWSS_E_00318_SE_02	7,32	16,96	28,21	
