Speech Event	lemmas	tokens	GOETHE_A1 lemmas	GOETHE_A1 tokens	GOETHE_A1 lemmas ratio	GOETHE_A1 tokens ratio	GOETHE_A2 lemmas	GOETHE_A2 tokens	GOETHE_A2 lemmas ratio	GOETHE_A2 tokens ratio	GOETHE_B1 lemmas	GOETHE_B1 tokens	GOETHE_B1 lemmas ratio	GOETHE_B1 tokens ratio	HERDER_1000 lemmas	HERDER_1000 tokens	HERDER_1000 lemmas ratio	HERDER_1000 tokens ratio	HERDER_2000 lemmas	HERDER_2000 tokens	HERDER_2000 lemmas ratio	HERDER_2000 tokens ratio	HERDER_3000 lemmas	HERDER_3000 tokens	HERDER_3000 lemmas ratio	HERDER_3000 tokens ratio	HERDER_4000 lemmas	HERDER_4000 tokens	HERDER_4000 lemmas ratio	HERDER_4000 tokens ratio	HERDER_5000 lemmas	HERDER_5000 tokens	HERDER_5000 lemmas ratio	HERDER_5000 tokens ratio	
FOLK_E_00287_SE_01	1962	19483	438	14917	0.22	0.77	659	16330	0.34	0.84	962	17253	0.49	0.89	537	15781	0.27	0.81	749	16385	0.38	0.84	860	16685	0.44	0.86	934	16926	0.48	0.87	978	16987	0.50	0.87
FOLK_E_00288_SE_01	1654	14393	401	10919	0.24	0.76	588	11853	0.36	0.82	833	12599	0.50	0.88	497	11366	0.30	0.79	662	11818	0.40	0.82	763	12017	0.46	0.83	831	12191	0.50	0.85	878	12290	0.53	0.85
FOLK_E_00289_SE_01	373	1617	167	1202	0.45	0.74	213	1317	0.57	0.81	265	1445	0.71	0.89	195	1274	0.52	0.79	230	1353	0.62	0.84	241	1374	0.65	0.85	256	1403	0.69	0.87	261	1409	0.70	0.87
FOLK_E_00290_SE_01	1250	16201	315	12002	0.25	0.74	456	13253	0.36	0.82	687	14256	0.55	0.88	459	13383	0.37	0.83	589	13847	0.47	0.85	670	14088	0.54	0.87	724	14215	0.58	0.88	759	14274	0.61	0.88
FOLK_E_00291_SE_01	1046	9851	371	7910	0.35	0.80	508	8599	0.49	0.87	669	9078	0.64	0.92	420	8363	0.40	0.85	526	8611	0.50	0.87	588	8749	0.56	0.89	626	8829	0.60	0.90	660	8876	0.63	0.90
FOLK_E_00292_SE_01	535	2771	186	2090	0.35	0.75	241	2248	0.45	0.81	337	2473	0.63	0.89	246	2205	0.46	0.80	304	2321	0.57	0.84	333	2364	0.62	0.85	366	2412	0.68	0.87	376	2427	0.70	0.88
FOLK_E_00293_SE_01	1994	21087	468	16767	0.23	0.80	703	18233	0.35	0.86	1025	19174	0.51	0.91	550	17367	0.28	0.82	767	17945	0.38	0.85	895	18270	0.45	0.87	985	18452	0.49	0.88	1054	18589	0.53	0.88
FOLK_E_00294_SE_01	845	9082	333	7356	0.39	0.81	466	8029	0.55	0.88	583	8456	0.69	0.93	372	7819	0.44	0.86	476	8127	0.56	0.89	535	8252	0.63	0.91	563	8335	0.67	0.92	586	8365	0.69	0.92
FOLK_E_00295_SE_01	927	6257	359	4804	0.39	0.77	498	5298	0.54	0.85	634	5626	0.68	0.90	404	5079	0.44	0.81	513	5301	0.55	0.85	567	5460	0.61	0.87	606	5531	0.65	0.88	625	5560	0.67	0.89
FOLK_E_00296_SE_01	1090	8948	307	6673	0.28	0.75	458	7443	0.42	0.83	624	7800	0.57	0.87	414	7151	0.38	0.80	537	7438	0.49	0.83	599	7589	0.55	0.85	649	7663	0.60	0.86	670	7698	0.61	0.86
FOLK_E_00298_SE_01	141	332	86	260	0.61	0.78	102	283	0.72	0.85	118	301	0.84	0.91	103	272	0.73	0.82	108	279	0.77	0.84	110	281	0.78	0.85	112	287	0.79	0.86	113	288	0.80	0.87
