Datei	Artikulationsrate
FOLK_E_00001_SE_01.txt	5.04814141701647
FOLK_E_00002_SE_01.txt	4.353720041456768
FOLK_E_00003_SE_01.txt	5.280277250046972
FOLK_E_00004_SE_01.txt	5.795247001912172
FOLK_E_00005_SE_01.txt	5.486913967031942
FOLK_E_00006_SE_01.txt	5.370770211404428
FOLK_E_00007_SE_01.txt	5.612673705055456
FOLK_E_00008_SE_01.txt	5.244221110849331
FOLK_E_00009_SE_01.txt	5.010967927945188
FOLK_E_00010_SE_01.txt	4.5163537361277735
FOLK_E_00011_SE_01.txt	3.97531269576619
FOLK_E_00012_SE_01.txt	4.305830481095792
FOLK_E_00013_SE_01.txt	3.8018582144904287
FOLK_E_00014_SE_01.txt	3.5278937061166844
FOLK_E_00015_SE_01.txt	5.132441368469213
FOLK_E_00016_SE_01.txt	3.834820694376252
FOLK_E_00017_SE_01.txt	3.7409086201814707
FOLK_E_00018_SE_01.txt	5.804398551904324
FOLK_E_00020_SE_01.txt	5.48358077251449
FOLK_E_00021_SE_01.txt	5.17219562884442
FOLK_E_00022_SE_01.txt	5.164509499836302
FOLK_E_00024_SE_01.txt	5.389283410465284
FOLK_E_00026_SE_01.txt	5.314245011530132
FOLK_E_00027_SE_01.txt	4.875631848156304
FOLK_E_00028_SE_01.txt	3.9321048296666867
FOLK_E_00029_SE_01.txt	4.3475161103989794
FOLK_E_00030_SE_01.txt	4.360046629148471
FOLK_E_00031_SE_01.txt	4.374003753414682
FOLK_E_00032_SE_01.txt	4.642253097465162
FOLK_E_00033_SE_01.txt	5.01490902814564
FOLK_E_00034_SE_01.txt	5.0430724822364015
FOLK_E_00035_SE_01.txt	4.832231612417383
FOLK_E_00036_SE_01.txt	5.017981098937865
FOLK_E_00037_SE_01.txt	4.7266270460749125
FOLK_E_00038_SE_01.txt	4.607704699588317
FOLK_E_00039_SE_01.txt	5.838218295904926
FOLK_E_00040_SE_01.txt	5.0383731445370925
FOLK_E_00042_SE_01.txt	6.0415001483772475
FOLK_E_00043_SE_01.txt	4.914510215515098
FOLK_E_00044_SE_01.txt	5.9035839075433
FOLK_E_00045_SE_01.txt	5.977402208275979
FOLK_E_00046_SE_01.txt	5.970558359265427
FOLK_E_00047_SE_01.txt	5.296296435536948
FOLK_E_00048_SE_01.txt	5.270116930719378
FOLK_E_00049_SE_01.txt	5.983530587259434
FOLK_E_00050_SE_01.txt	4.976081080016075
FOLK_E_00052_SE_01.txt	4.699994233620531
FOLK_E_00053_SE_01.txt	5.358915221318562
FOLK_E_00055_SE_01.txt	5.479193665188538
FOLK_E_00056_SE_01.txt	4.915682946568341
FOLK_E_00057_SE_01.txt	4.8008291836007375
FOLK_E_00058_SE_01.txt	5.167609146664851
FOLK_E_00059_SE_01.txt	4.813280824358232
FOLK_E_00060_SE_01.txt	4.738332008459738
FOLK_E_00061_SE_01.txt	5.190580871861194
FOLK_E_00062_SE_01.txt	4.670380458226014
FOLK_E_00064_SE_01.txt	4.968698394526864
